satellite,orbit_index,location_index,lat,lon,fire,user_request,start_utc,end_utc,duration_min
Global-19,638,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-10T10:50:00+00:00Z,2025-07-10T10:56:00+00:00Z,6.0
Global-19,650,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-10T12:30:00+00:00Z,2025-07-10T12:32:00+00:00Z,2.0
Global-19,653,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-10T17:24:00+00:00Z,2025-07-10T17:29:00+00:00Z,5.0
Global-19,654,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-10T19:02:00+00:00Z,2025-07-10T19:06:00+00:00Z,4.0
Global-19,684,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-11T10:01:00+00:00Z,2025-07-11T10:06:00+00:00Z,5.0
Global-19,685,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-11T11:39:00+00:00Z,2025-07-11T11:43:00+00:00Z,4.0
Global-19,688,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-11T16:35:00+00:00Z,2025-07-11T16:39:00+00:00Z,4.0
Global-19,689,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-11T18:12:00+00:00Z,2025-07-11T18:17:00+00:00Z,5.0
Global-19,722,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-12T09:13:00+00:00Z,2025-07-12T09:17:00+00:00Z,4.0
Global-19,723,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-12T10:50:00+00:00Z,2025-07-12T10:55:00+00:00Z,5.0
Global-19,737,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-12T15:46:00+00:00Z,2025-07-12T15:49:00+00:00Z,3.0
Global-19,738,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-12T17:22:00+00:00Z,2025-07-12T17:28:00+00:00Z,6.0
Global-19,758,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-13T08:25:00+00:00Z,2025-07-13T08:26:00+00:00Z,1.0
Global-19,759,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-13T10:00:00+00:00Z,2025-07-13T10:05:00+00:00Z,5.0
Global-19,774,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-13T16:33:00+00:00Z,2025-07-13T16:39:00+00:00Z,6.0
Global-19,806,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-14T09:10:00+00:00Z,2025-07-14T09:16:00+00:00Z,6.0
Global-19,807,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-14T10:50:00+00:00Z,2025-07-14T10:52:00+00:00Z,2.0
Global-19,810,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-14T15:44:00+00:00Z,2025-07-14T15:49:00+00:00Z,5.0
Global-19,822,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-14T17:22:00+00:00Z,2025-07-14T17:25:00+00:00Z,3.0
Global-19,844,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-15T08:21:00+00:00Z,2025-07-15T08:26:00+00:00Z,5.0
Global-19,845,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-15T10:00:00+00:00Z,2025-07-15T10:03:00+00:00Z,3.0
Global-19,859,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-15T14:54:00+00:00Z,2025-07-15T14:59:00+00:00Z,5.0
Global-19,860,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-15T16:32:00+00:00Z,2025-07-15T16:37:00+00:00Z,5.0
Global-19,882,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-16T07:32:00+00:00Z,2025-07-16T07:37:00+00:00Z,5.0
Global-19,896,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-16T09:09:00+00:00Z,2025-07-16T09:14:00+00:00Z,5.0
Global-19,899,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-16T14:05:00+00:00Z,2025-07-16T14:09:00+00:00Z,4.0
Global-19,900,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-16T15:42:00+00:00Z,2025-07-16T15:47:00+00:00Z,5.0
Global-19,934,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-17T06:43:00+00:00Z,2025-07-17T06:46:00+00:00Z,3.0
Global-19,935,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-17T08:19:00+00:00Z,2025-07-17T08:25:00+00:00Z,6.0
Global-19,938,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-17T13:16:00+00:00Z,2025-07-17T13:18:00+00:00Z,2.0
Global-19,939,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-17T14:52:00+00:00Z,2025-07-17T14:58:00+00:00Z,6.0
Global-19,975,0,-27.9120213684873,150.743826980695,550.0,UR2-1,2025-07-18T07:29:00+00:00Z,2025-07-18T07:35:00+00:00Z,6.0
